Nahrungsmittel;Typ;Typische Ernaehrungsweise;Verarbeitungsgrad;Quelle fuer Verarbeitungsgrad;Typische Zubereitung;Quelle fuer Typische Zubereitung;Haltbarkeit;Quelle fuer Haltbarkeit;typischer Preis pro 100g;Quelle fuer typischer Preis pro 100g;Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag;Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag;Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei veganer Ernaehrungsweise;Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei veganer Ernaehrungsweise;Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei vegetarischer Ernaehrungsweise;Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei vegetarischer Ernaehrungsweise;Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei Ernaehrungsweise mit hauptsaechlich prozessierter Nahrung (Baecker belegte Broetchen, Pizza, Kaffee mit Milch, Bier);Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei Ernaehrungsweise mit hauptsaechlich prozessierter Nahrung (Baecker belegte Broetchen, Pizza, Kaffee mit Milch, Bier);Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei low-carb Ernaehrungsweise;Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei low-carb Ernaehrungsweise;Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei paleo Ernaehrungsweise;Quelle fuer Menge in g der durchschnittlichen Aufnahme eines durchschnittlichen Buergers pro Tag bei paleo Ernaehrungsweise;Kaloriengehalt kcal/100g;Quelle fuer Kaloriengehalt kcal/100g;Proteine g/100g;Quelle fuer Proteine g/100g;Aminosaeurenprofil Kommentar;Quelle fuer Aminosaeurenprofil Kommentar;Fette g/100g;Quelle fuer Fette g/100g;Transfette g/100g;Quelle fuer Transfette g/100g;Omega-3-Fettsaeuren g/100g;Quelle fuer Omega-3-Fettsaeuren g/100g;Omega-6-Fettsaeuren;Quelle fuer Omega-6-Fettsaeuren;Kohlenhydrate g/100g;Quelle fuer Kohlenhydrate g/100g;Ballaststofe g/100g;Quelle fuer Ballaststofe g/100g;Vitamin A-Gehalt (mg/100g);Quelle fuer Vitamin A-Gehalt (mg/100g);Vitamin A Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin A Bioverfuegbarkeit in % von 100;Vitamin A Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin A Bioverfuegbarkeit Kommentar;Vitamin B1-Gehalt (mg/100g);Quelle fuer Vitamin B1-Gehalt (mg/100g);Vitamin B1 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B1 Bioverfuegbarkeit in % von 100;Vitamin B1 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B1 Bioverfuegbarkeit Kommentar;Vitamin B2-Gehalt (mg/100g);Quelle fuer Vitamin B2-Gehalt (mg/100g);Vitamin B2 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B2 Bioverfuegbarkeit in % von 100;Vitamin B2 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B2 Bioverfuegbarkeit Kommentar;Vitamin B3-Gehalt (mg/100g);Quelle fuer Vitamin B3-Gehalt (mg/100g);Vitamin B3 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B3 Bioverfuegbarkeit in % von 100;Vitamin B3 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B3 Bioverfuegbarkeit Kommentar;Vitamin B5-Gehalt (mg/100g);Quelle fuer Vitamin B5-Gehalt (mg/100g);Vitamin B5 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B5 Bioverfuegbarkeit in % von 100;Vitamin B5 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B5 Bioverfuegbarkeit Kommentar;Vitamin B6-Gehalt (mg/100g);Quelle fuer Vitamin B6-Gehalt (mg/100g);Vitamin B6 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B6 Bioverfuegbarkeit in % von 100;Vitamin B6 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B6 Bioverfuegbarkeit Kommentar;Vitamin B7-Gehalt (mg/100g);Quelle fuer Vitamin B7-Gehalt (mg/100g);Vitamin B7 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B7 Bioverfuegbarkeit in % von 100;Vitamin B7 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B7 Bioverfuegbarkeit Kommentar;Vitamin B9-Gehalt (mg/100g);Quelle fuer Vitamin B9-Gehalt (mg/100g);Vitamin B9 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B9 Bioverfuegbarkeit in % von 100;Vitamin B9 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B9 Bioverfuegbarkeit Kommentar;Vitamin B12-Gehalt (mg/100g);Quelle fuer Vitamin B12-Gehalt (mg/100g);Vitamin B12 Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin B12 Bioverfuegbarkeit in % von 100;Vitamin B12 Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin B12 Bioverfuegbarkeit Kommentar;Vitamin C-Gehalt (mg/100g);Quelle fuer Vitamin C-Gehalt (mg/100g);Vitamin C Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin C Bioverfuegbarkeit in % von 100;Vitamin C Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin C Bioverfuegbarkeit Kommentar;Cholin-Gehalt (mg/100g);Quelle fuer Cholin-Gehalt (mg/100g);Cholin Bioverfuegbarkeit in % von 100;Quelle fuer Cholin Bioverfuegbarkeit in % von 100;Cholin Bioverfuegbarkeit Kommentar;Quelle fuer Cholin Bioverfuegbarkeit Kommentar;Vitamin D-Gehalt (mg/100g);Quelle fuer Vitamin D-Gehalt (mg/100g);Vitamin D Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin D Bioverfuegbarkeit in % von 100;Vitamin D Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin D Bioverfuegbarkeit Kommentar;Vitamin E-Gehalt (mg/100g);Quelle fuer Vitamin E-Gehalt (mg/100g);Vitamin E Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin E Bioverfuegbarkeit in % von 100;Vitamin E Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin E Bioverfuegbarkeit Kommentar;Vitamin F-Gehalt (mg/100g);Quelle fuer Vitamin F-Gehalt (mg/100g);Vitamin F Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin F Bioverfuegbarkeit in % von 100;Vitamin F Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin F Bioverfuegbarkeit Kommentar;Vitamin K-Gehalt (mg/100g);Quelle fuer Vitamin K-Gehalt (mg/100g);Vitamin K Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin K Bioverfuegbarkeit in % von 100;Vitamin K Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin K Bioverfuegbarkeit Kommentar;Vitamin P-Gehalt (mg/100g);Quelle fuer Vitamin P-Gehalt (mg/100g);Vitamin P Bioverfuegbarkeit in % von 100;Quelle fuer Vitamin P Bioverfuegbarkeit in % von 100;Vitamin P Bioverfuegbarkeit Kommentar;Quelle fuer Vitamin P Bioverfuegbarkeit Kommentar;Eisen-Gehalt (mg/100g);Quelle fuer Eisen-Gehalt (mg/100g);Eisen Bioverfuegbarkeit in % von 100;Quelle fuer Eisen Bioverfuegbarkeit in % von 100;Eisen Bioverfuegbarkeit Kommentar;Quelle fuer Eisen Bioverfuegbarkeit Kommentar;Zink-Gehalt (mg/100g);Quelle fuer Zink-Gehalt (mg/100g);Zink Bioverfuegbarkeit in % von 100;Quelle fuer Zink Bioverfuegbarkeit in % von 100;Zink Bioverfuegbarkeit Kommentar;Quelle fuer Zink Bioverfuegbarkeit Kommentar;Jod-Gehalt (mg/100g);Quelle fuer Jod-Gehalt (mg/100g);Jod Bioverfuegbarkeit in % von 100;Quelle fuer Jod Bioverfuegbarkeit in % von 100;Jod Bioverfuegbarkeit Kommentar;Quelle fuer Jod Bioverfuegbarkeit Kommentar;Selen-Gehalt (mg/100g);Quelle fuer Selen-Gehalt (mg/100g);Selen Bioverfuegbarkeit in % von 100;Quelle fuer Selen Bioverfuegbarkeit in % von 100;Selen Bioverfuegbarkeit Kommentar;Quelle fuer Selen Bioverfuegbarkeit Kommentar;Kupfer-Gehalt (mg/100g);Quelle fuer Kupfer-Gehalt (mg/100g);Kupfer Bioverfuegbarkeit in % von 100;Quelle fuer Kupfer Bioverfuegbarkeit in % von 100;Kupfer Bioverfuegbarkeit Kommentar;Quelle fuer Kupfer Bioverfuegbarkeit Kommentar;Mangan-Gehalt (mg/100g);Quelle fuer Mangan-Gehalt (mg/100g);Mangan Bioverfuegbarkeit in % von 100;Quelle fuer Mangan Bioverfuegbarkeit in % von 100;Mangan Bioverfuegbarkeit Kommentar;Quelle fuer Mangan Bioverfuegbarkeit Kommentar;Chrom-Gehalt (mg/100g);Quelle fuer Chrom-Gehalt (mg/100g);Chrom Bioverfuegbarkeit in % von 100;Quelle fuer Chrom Bioverfuegbarkeit in % von 100;Chrom Bioverfuegbarkeit Kommentar;Quelle fuer Chrom Bioverfuegbarkeit Kommentar;Molybdaen-Gehalt (mg/100g);Quelle fuer Molybdaen-Gehalt (mg/100g);Molybdaen Bioverfuegbarkeit in % von 100;Quelle fuer Molybdaen Bioverfuegbarkeit in % von 100;Molybdaen Bioverfuegbarkeit Kommentar;Quelle fuer Molybdaen Bioverfuegbarkeit Kommentar;Fluorid-Gehalt (mg/100g);Quelle fuer Fluorid-Gehalt (mg/100g);Fluorid Bioverfuegbarkeit in % von 100;Quelle fuer Fluorid Bioverfuegbarkeit in % von 100;Fluorid Bioverfuegbarkeit Kommentar;Quelle fuer Fluorid Bioverfuegbarkeit Kommentar;Kalzium-Gehalt (mg/100g);Quelle fuer Kalzium-Gehalt (mg/100g);Kalzium Bioverfuegbarkeit in % von 100;Quelle fuer Kalzium Bioverfuegbarkeit in % von 100;Kalzium Bioverfuegbarkeit Kommentar;Quelle fuer Kalzium Bioverfuegbarkeit Kommentar;Magnesium-Gehalt (mg/100g);Quelle fuer Magnesium-Gehalt (mg/100g);Magnesium Bioverfuegbarkeit in % von 100;Quelle fuer Magnesium Bioverfuegbarkeit in % von 100;Magnesium Bioverfuegbarkeit Kommentar;Quelle fuer Magnesium Bioverfuegbarkeit Kommentar;Kalium-Gehalt (mg/100g);Quelle fuer Kalium-Gehalt (mg/100g);Kalium Bioverfuegbarkeit in % von 100;Quelle fuer Kalium Bioverfuegbarkeit in % von 100;Kalium Bioverfuegbarkeit Kommentar;Quelle fuer Kalium Bioverfuegbarkeit Kommentar;Natrium-Gehalt (mg/100g);Quelle fuer Natrium-Gehalt (mg/100g);Natrium Bioverfuegbarkeit in % von 100;Quelle fuer Natrium Bioverfuegbarkeit in % von 100;Natrium Bioverfuegbarkeit Kommentar;Quelle fuer Natrium Bioverfuegbarkeit Kommentar;Phosphor-Gehalt (mg/100g);Quelle fuer Phosphor-Gehalt (mg/100g);Phosphor Bioverfuegbarkeit in % von 100;Quelle fuer Phosphor Bioverfuegbarkeit in % von 100;Phosphor Bioverfuegbarkeit Kommentar;Quelle fuer Phosphor Bioverfuegbarkeit Kommentar;Chlorid-Gehalt (mg/100g);Quelle fuer Chlorid-Gehalt (mg/100g);Chlorid Bioverfuegbarkeit in % von 100;Quelle fuer Chlorid Bioverfuegbarkeit in % von 100;Chlorid Bioverfuegbarkeit Kommentar;Quelle fuer Chlorid Bioverfuegbarkeit Kommentar;Nahrungsmittel, die in DACH regelhaft verfuegbar sind;Quelle fuer Nahrungsmittel, die in DACH regelhaft verfuegbar sind;typische Menge pro Mahlzeit in g;Quelle fuer typische Menge pro Mahlzeit in g;Verfuegbarkeit;Quelle fuer Verfuegbarkeit;Kurzkommentar;Quelle fuer Kurzkommentar;ausfuehrlicher Kommentar;Quelle fuer ausfuehrlicher Kommentar;Allergenhinweise;Quelle fuer Allergenhinweise;Zusatzstoffe;Quelle fuer Zusatzstoffe;Glykaemischer Index;Quelle fuer Glykaemischer Index;Glykaemische Last;Quelle fuer Glykaemische Last;Antioxidantiengehalt;Quelle fuer Antioxidantiengehalt;Co2-Fussabdruck;Quelle fuer Co2-Fussabdruck;Wasserverbrauch;Quelle fuer Wasserverbrauch;Energieverbrauch bei der Herstellung MJ/kg;Quelle fuer Energieverbrauch bei der Herstellung MJ/kg;Regionalitaet DACH;Quelle fuer Regionalitaet DACH;regionaler Anbau und Verfuegbarkeit Januar x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Januar x/10;regionaler Anbau und Verfuegbarkeit Februar x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Februar x/10;regionaler Anbau und Verfuegbarkeit Maerz x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Maerz x/10;regionaler Anbau und Verfuegbarkeit April x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit April x/10;regionaler Anbau und Verfuegbarkeit Mai x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Mai x/10;regionaler Anbau und Verfuegbarkeit Juni x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Juni x/10;regionaler Anbau und Verfuegbarkeit Juli x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Juli x/10;regionaler Anbau und Verfuegbarkeit August x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit August x/10;regionaler Anbau und Verfuegbarkeit September x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit September x/10;regionaler Anbau und Verfuegbarkeit Oktober x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Oktober x/10;regionaler Anbau und Verfuegbarkeit November x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit November x/10;regionaler Anbau und Verfuegbarkeit Dezember x/10;Quelle fuer regionaler Anbau und Verfuegbarkeit Dezember x/10;CO2-Fussabdruck Januar kg/kg (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Januar kg/kg (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Februar kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Februar kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Maerz kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Maerz kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck April kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck April kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Mai kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Mai kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Juni kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Juni kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Juli kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Juli kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck August kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck August kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck September kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck September kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Oktober kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Oktober kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck November kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck November kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);CO2-Fussabdruck Dezember kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege);Quelle fuer CO2-Fussabdruck Dezember kg/kg  (keine regionale Verfuegbarkeit:Flug- oder Schiffsreise notwendig oder lange Transportwege)
Apfel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Banane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erdbeere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Himbeere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blaubeere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kirsche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pfirsich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
